transaction_id,user_id,amount,timestamp,device_id
TX001,U001,5000,2026-02-23T10:00:00,D1
TX002,U001,7000,2026-02-23T10:03:00,D1
TX003,U001,8000,2026-02-23T10:05:00,D1
TX004,U001,6000,2026-02-23T10:08:00,D1
TX005,U002,25000,2026-02-23T10:10:00,D2
TX006,U003,15000,2026-02-23T10:15:00,D3
TX007,U003,16000,2026-02-23T10:18:00,D3
TX008,U003,17000,2026-02-23T10:22:00,D3
TX009,U004,20000,2026-02-23T10:25:00,D4
TX010,U005,30000,2026-02-23T10:30:00,D5
TX011,U006,4000,2026-02-23T10:35:00,D6
TX012,U006,5000,2026-02-23T10:37:00,D6
TX013,U006,6000,2026-02-23T10:39:00,D6
TX014,U006,7000,2026-02-23T10:50:00,D6
TX015,U007,22000,2026-02-23T11:00:00,D7
TX016,U008,12000,2026-02-23T11:05:00,D8
TX017,U008,13000,2026-02-23T11:07:00,D8
TX018,U008,14000,2026-02-23T11:09:00,D8
TX019,U008,15000,2026-02-23T11:11:00,D8
TX020,U009,9000,2026-02-23T11:15:00,D9
TX021,U010,21000,2026-02-23T11:20:00,D10
TX022,U011,11000,2026-02-23T11:25:00,D11
TX023,U012,18000,2026-02-23T11:30:00,D12
TX024,U012,19000,2026-02-23T11:33:00,D12
TX025,U012,19500,2026-02-23T11:36:00,D12
TX026,U013,50000,2026-02-23T11:40:00,D13
TX027,U014,3000,2026-02-23T11:45:00,D14
TX028,U014,4000,2026-02-23T11:48:00,D14
TX029,U014,5000,2026-02-23T11:51:00,D14
TX030,U014,6000,2026-02-23T11:53:00,D14
TX031,U015,2000,2026-02-23T12:00:00,D15
TX032,U016,25000,2026-02-23T12:05:00,D16
TX033,U017,8000,2026-02-23T12:10:00,D17
TX034,U017,8500,2026-02-23T12:14:00,D17
TX035,U017,9000,2026-02-23T12:18:00,D17
TX036,U018,10000,2026-02-23T12:25:00,D18
TX037,U019,27000,2026-02-23T12:30:00,D19
TX038,U020,6000,2026-02-23T12:35:00,D20
TX039,U020,6500,2026-02-23T12:38:00,D20
TX040,U020,7000,2026-02-23T12:42:00,D20
TX041,U021,20000,2026-02-23T12:45:00,D21
TX042,U022,31000,2026-02-23T12:50:00,D22
TX043,U023,4500,2026-02-23T12:55:00,D23
TX044,U024,12000,2026-02-23T13:00:00,D24
TX045,U024,12500,2026-02-23T13:03:00,D24
TX046,U024,13000,2026-02-23T13:06:00,D24
TX047,U024,13500,2026-02-23T13:09:00,D24
TX048,U025,22000,2026-02-23T13:15:00,D25
TX049,U026,1000,2026-02-23T13:20:00,D26
TX050,U026,1000,2026-02-23T13:22:00,D26
TX051,U026,1000,2026-02-23T13:24:00,D26
TX052,U027,90000,2026-02-23T13:30:00,D27
TX053,U028,15000,2026-02-23T13:35:00,D28
TX054,U029,17000,2026-02-23T13:40:00,D29
TX055,U030,23000,2026-02-23T13:45:00,D30
TX056,U030,24000,2026-02-23T13:47:00,D30
TX057,U030,25000,2026-02-23T13:49:00,D30
TX058,U030,26000,2026-02-23T13:51:00,D30
TX059,U005,30000,2026-02-23T10:30:00,D5
TX060,U001,5000,2026-02-23T10:00:00,D1